Index,NOC,Year,Season,Host,CompetitorID
662,CGO,2004,Summer,0,5
663,CGO,2008,Summer,0,5
664,CGO,2012,Summer,0,7
665,CGO,2016,Summer,0,10
666,CHA,1964,Summer,0,2
667,CHA,1968,Summer,0,4
668,CHA,1972,Summer,0,5
669,CHA,1984,Summer,0,3
670,CHA,1988,Summer,0,6
671,CHA,1992,Summer,0,7
672,CHA,1996,Summer,0,4
673,CHA,2000,Summer,0,3
674,CHA,2004,Summer,0,1
675,CHA,2008,Summer,0,2
676,CHA,2012,Summer,0,2
677,CHA,2016,Summer,0,2
678,CHI,1912,Summer,0,25
679,CHI,1920,Summer,0,2
680,CHI,1924,Summer,0,17
681,CHI,1928,Summer,0,28
682,CHI,1936,Summer,0,45
683,CHI,1948,Summer,0,56
684,CHI,1948,Winter,0,11
685,CHI,1952,Summer,0,61
686,CHI,1952,Winter,0,7
687,CHI,1956,Summer,0,41
688,CHI,1956,Winter,0,7
689,CHI,1960,Summer,0,9
690,CHI,1960,Winter,0,12
691,CHI,1964,Summer,0,16
692,CHI,1964,Winter,0,11
693,CHI,1968,Summer,0,23
694,CHI,1968,Winter,0,11
695,CHI,1972,Summer,0,11
696,CHI,1976,Summer,0,9
697,CHI,1976,Winter,0,11
698,CHI,1984,Summer,0,43
699,CHI,1984,Winter,0,12
700,CHI,1988,Summer,0,20
701,CHI,1988,Winter,0,16
702,CHI,1992,Summer,0,14
703,CHI,1992,Winter,0,12
704,CHI,1994,Winter,0,7
705,CHI,1996,Summer,0,18
706,CHI,1998,Winter,0,6
707,CHI,2000,Summer,0,33
708,CHI,2002,Winter,0,11
709,CHI,2004,Summer,0,26
710,CHI,2006,Winter,0,15
711,CHI,2008,Summer,0,28
712,CHI,2010,Winter,0,10
713,CHI,2012,Summer,0,40
714,CHI,2014,Winter,0,14
715,CHI,2016,Summer,0,43
716,CHN,1932,Summer,0,2
717,CHN,1936,Summer,0,52
718,CHN,1948,Summer,0,23
719,CHN,1952,Summer,0,1
720,CHN,1980,Winter,0,35
721,CHN,1984,Summer,0,232
722,CHN,1984,Winter,0,61
723,CHN,1988,Summer,0,320
724,CHN,1988,Winter,0,15
725,CHN,1992,Summer,0,314
726,CHN,1992,Winter,0,66
727,CHN,1994,Winter,0,34
728,CHN,1996,Summer,0,321
729,CHN,1998,Winter,0,60
730,CHN,2000,Summer,0,292
731,CHN,2002,Winter,0,80
732,CHN,2004,Summer,0,367
733,CHN,2006,Winter,0,124
734,CHN,2008,Summer,1,444
735,CHN,2010,Winter,0,98
736,CHN,2012,Summer,0,342
737,CHN,2014,Winter,0,94
738,CHN,2016,Summer,0,360
739,CIV,1964,Summer,0,10
740,CIV,1968,Summer,0,7
741,CIV,1972,Summer,0,8
742,CIV,1976,Summer,0,8
743,CIV,1984,Summer,0,14
744,CIV,1988,Summer,0,10
745,CIV,1992,Summer,0,11
746,CIV,1996,Summer,0,9
747,CIV,2000,Summer,0,12
748,CIV,2004,Summer,0,5
749,CIV,2008,Summer,0,7
750,CIV,2012,Summer,0,10
751,CIV,2016,Summer,0,15
752,CMR,1964,Summer,0,2
753,CMR,1968,Summer,0,5
754,CMR,1972,Summer,0,15
755,CMR,1976,Summer,0,1
756,CMR,1980,Summer,0,26
757,CMR,1984,Summer,0,36
758,CMR,1988,Summer,0,21
759,CMR,1992,Summer,0,9
760,CMR,1996,Summer,0,13
761,CMR,2000,Summer,0,16
762,CMR,2002,Winter,0,2
763,CMR,2004,Summer,0,16
764,CMR,2008,Summer,0,16
765,CMR,2012,Summer,0,16
766,CMR,2016,Summer,0,13
767,COD,1968,Summer,0,5
768,COD,1984,Summer,0,9
769,COD,1988,Summer,0,18
770,COD,1992,Summer,0,16
771,COD,1996,Summer,0,14
772,COD,2000,Summer,0,3
773,COD,2004,Summer,0,5
774,COD,2008,Summer,0,5
775,COD,2012,Summer,0,4
776,COD,2016,Summer,0,4
777,COK,1988,Summer,0,8
778,COK,1992,Summer,0,2
779,COK,1996,Summer,0,3
780,COK,2000,Summer,0,2
781,COK,2004,Summer,0,3
782,COK,2008,Summer,0,4
783,COK,2012,Summer,0,9
784,COK,2016,Summer,0,9
785,COL,1900,Summer,0,1
786,COL,1932,Summer,0,2
787,COL,1936,Summer,0,6
788,COL,1948,Summer,0,11
789,COL,1956,Summer,0,32
790,COL,1960,Summer,0,20
791,COL,1964,Summer,0,30
792,COL,1968,Summer,0,45
793,COL,1972,Summer,0,56
794,COL,1976,Summer,0,37
795,COL,1980,Summer,0,12
796,COL,1984,Summer,0,48
797,COL,1988,Summer,0,44
798,COL,1992,Summer,0,38
799,COL,1996,Summer,0,56
800,COL,2000,Summer,0,49
801,COL,2004,Summer,0,67
802,COL,2008,Summer,0,84
803,COL,2010,Winter,0,2
804,COL,2012,Summer,0,95
805,COL,2016,Summer,0,109
806,COM,1996,Summer,0,4
807,COM,2000,Summer,0,2
808,COM,2004,Summer,0,3
809,COM,2008,Summer,0,3
810,COM,2012,Summer,0,3
811,COM,2016,Summer,0,4
812,CPV,1996,Summer,0,3
813,CPV,2000,Summer,0,2
814,CPV,2004,Summer,0,3
815,CPV,2008,Summer,0,2
816,CPV,2012,Summer,0,3
817,CPV,2016,Summer,0,5
818,CRC,1936,Summer,0,1
819,CRC,1964,Summer,0,2
820,CRC,1968,Summer,0,24
821,CRC,1972,Summer,0,4
822,CRC,1976,Summer,0,10
823,CRC,1980,Summer,0,22
824,CRC,1980,Winter,0,3
825,CRC,1984,Summer,0,16
826,CRC,1984,Winter,0,7
827,CRC,1988,Summer,0,27
828,CRC,1988,Winter,0,5
829,CRC,1992,Summer,0,20
830,CRC,1992,Winter,0,6
831,CRC,1996,Summer,0,13
832,CRC,2000,Summer,0,9
833,CRC,2002,Winter,0,2
834,CRC,2004,Summer,0,8
835,CRC,2006,Winter,0,1
836,CRC,2008,Summer,0,8
837,CRC,2012,Summer,0,11
838,CRC,2016,Summer,0,11
839,CRO,1992,Summer,0,39
840,CRO,1992,Winter,0,8
841,CRO,1994,Winter,0,11
842,CRO,1996,Summer,0,72
843,CRO,1998,Winter,0,13
844,CRO,2000,Summer,0,69
845,CRO,2002,Winter,0,26
846,CRO,2004,Summer,0,64
847,CRO,2006,Winter,0,41
848,CRO,2008,Summer,0,90
849,CRO,2010,Winter,0,33
850,CRO,2012,Summer,0,75
851,CRO,2014,Winter,0,25
852,CRO,2016,Summer,0,66
853,CRT,1906,Summer,0,11
854,CUB,1900,Summer,0,2
855,CUB,1904,Summer,0,5
856,CUB,1924,Summer,0,8
857,CUB,1928,Summer,0,1
858,CUB,1932,Summer,0,3
859,CUB,1948,Summer,0,98
860,CUB,1952,Summer,0,53
861,CUB,1956,Summer,0,16
862,CUB,1960,Summer,0,20
863,CUB,1964,Summer,0,67
864,CUB,1968,Summer,0,182
865,CUB,1972,Summer,0,133
866,CUB,1976,Summer,0,128
867,CUB,1980,Summer,0,184
868,CUB,1992,Summer,0,121
869,CUB,1996,Summer,0,120
870,CUB,2000,Summer,0,183
871,CUB,2004,Summer,0,133
872,CUB,2008,Summer,0,125
873,CUB,2012,Summer,0,108
874,CUB,2016,Summer,0,121
875,CYP,1980,Summer,0,13
876,CYP,1980,Winter,0,6
877,CYP,1984,Summer,0,12
878,CYP,1984,Winter,0,10
879,CYP,1988,Summer,0,10
880,CYP,1988,Winter,0,8
881,CYP,1992,Summer,0,18
882,CYP,1992,Winter,0,11
883,CYP,1994,Winter,0,1
884,CYP,1996,Summer,0,20
885,CYP,1998,Winter,0,1
886,CYP,2000,Summer,0,21
887,CYP,2002,Winter,0,2
888,CYP,2004,Summer,0,21
889,CYP,2006,Winter,0,2
890,CYP,2008,Summer,0,18
891,CYP,2010,Winter,0,4
892,CYP,2012,Summer,0,13
893,CYP,2014,Winter,0,2
894,CYP,2016,Summer,0,21
895,CZE,1994,Winter,0,73
896,CZE,1996,Summer,0,142
897,CZE,1998,Winter,0,75
898,CZE,2000,Summer,0,125
899,CZE,2002,Winter,0,118
900,CZE,2004,Summer,0,152
901,CZE,2006,Winter,0,120
902,CZE,2008,Summer,0,144
903,CZE,2010,Winter,0,124
904,CZE,2012,Summer,0,134
905,CZE,2014,Winter,0,125
906,CZE,2016,Summer,0,117
907,DEN,1896,Summer,0,15
908,DEN,1900,Summer,0,30
909,DEN,1906,Summer,0,36
910,DEN,1908,Summer,0,55
911,DEN,1912,Summer,0,117
912,DEN,1920,Summer,0,137
913,DEN,1924,Summer,0,131
914,DEN,1928,Summer,0,97
915,DEN,1932,Summer,0,83
916,DEN,1936,Summer,0,124
917,DEN,1948,Summer,0,182
918,DEN,1948,Winter,0,2
919,DEN,1952,Summer,0,154
920,DEN,1952,Winter,0,1
921,DEN,1956,Summer,0,38
922,DEN,1960,Summer,0,65
923,DEN,1960,Winter,0,3
924,DEN,1964,Summer,0,54
925,DEN,1964,Winter,0,5
926,DEN,1968,Summer,0,77
927,DEN,1968,Winter,0,6
928,DEN,1972,Summer,0,100
929,DEN,1976,Summer,0,59
930,DEN,1980,Summer,0,42
931,DEN,1984,Summer,0,49
932,DEN,1988,Summer,0,95
933,DEN,1988,Winter,0,1
934,DEN,1992,Summer,0,98
935,DEN,1992,Winter,0,13
936,DEN,1994,Winter,0,9
937,DEN,1996,Summer,0,85
938,DEN,1998,Winter,0,19
939,DEN,2000,Summer,0,79
940,DEN,2002,Winter,0,11
941,DEN,2004,Summer,0,77
942,DEN,2006,Winter,0,4
943,DEN,2008,Summer,0,76
944,DEN,2010,Winter,0,23
945,DEN,2012,Summer,0,91
946,DEN,2014,Winter,0,15
947,DEN,2016,Summer,0,88
948,DJI,1984,Summer,0,3
949,DJI,1988,Summer,0,6
950,DJI,1992,Summer,0,8
951,DJI,1996,Summer,0,5
952,DJI,2000,Summer,0,2
953,DJI,2008,Summer,0,2
954,DJI,2012,Summer,0,4
955,DJI,2016,Summer,0,8
956,DMA,1996,Summer,0,6
957,DMA,2000,Summer,0,4
958,DMA,2004,Summer,0,2
959,DMA,2008,Summer,0,2
960,DMA,2012,Summer,0,2
961,DMA,2014,Winter,0,1
962,DMA,2016,Summer,0,2
963,DOM,1964,Summer,0,1
964,DOM,1968,Summer,0,18
965,DOM,1972,Summer,0,5
966,DOM,1976,Summer,0,11
967,DOM,1980,Summer,0,7
968,DOM,1984,Summer,0,24
969,DOM,1988,Summer,0,17
970,DOM,1992,Summer,0,13
971,DOM,1996,Summer,0,16
972,DOM,2000,Summer,0,13
973,DOM,2004,Summer,0,22
974,DOM,2008,Summer,0,22
975,DOM,2012,Summer,0,22
976,DOM,2016,Summer,0,24
977,ECU,1924,Summer,0,4
978,ECU,1968,Summer,0,38
979,ECU,1972,Summer,0,4
980,ECU,1976,Summer,0,8
981,ECU,1980,Summer,0,13
982,ECU,1984,Summer,0,15
983,ECU,1988,Summer,0,15
984,ECU,1992,Summer,0,15
985,ECU,1996,Summer,0,21
986,ECU,2000,Summer,0,11
987,ECU,2004,Summer,0,18
988,ECU,2008,Summer,0,26
989,ECU,2012,Summer,0,36
990,ECU,2016,Summer,0,40
991,EGY,1906,Summer,0,5
992,EGY,1920,Summer,0,12
993,EGY,1924,Summer,0,19
994,EGY,1928,Summer,0,20
995,EGY,1936,Summer,0,46
996,EGY,1948,Summer,0,127
997,EGY,1952,Summer,0,148
998,EGY,1956,Summer,0,4
999,EGY,1964,Summer,0,49
1000,EGY,1968,Summer,0,22
1001,EGY,1972,Summer,0,26
1002,EGY,1976,Summer,0,15
1003,EGY,1984,Summer,0,106
1004,EGY,1984,Winter,0,3
1005,EGY,1988,Summer,0,54
1006,EGY,1992,Summer,0,37
1007,EGY,1996,Summer,0,18
1008,EGY,2000,Summer,0,73
1009,EGY,2004,Summer,0,57
1010,EGY,2008,Summer,0,78
1011,EGY,2012,Summer,0,102
1012,EGY,2016,Summer,0,100
1013,ERI,2000,Summer,0,3
1014,ERI,2004,Summer,0,5
1015,ERI,2008,Summer,0,11
1016,ERI,2012,Summer,0,12
1017,ERI,2016,Summer,0,12
1018,ESA,1932,Summer,0,4
1019,ESA,1968,Summer,0,74
1020,ESA,1972,Summer,0,15
1021,ESA,1984,Summer,0,15
1022,ESA,1988,Summer,0,7
1023,ESA,1992,Summer,0,6
1024,ESA,1996,Summer,0,10
1025,ESA,2000,Summer,0,10
1026,ESA,2004,Summer,0,9
1027,ESA,2008,Summer,0,14
1028,ESA,2012,Summer,0,11
1029,ESA,2016,Summer,0,10
1030,ESP,1900,Summer,0,7
1031,ESP,1920,Summer,0,45
1032,ESP,1924,Summer,0,89
1033,ESP,1928,Summer,0,52
1034,ESP,1932,Summer,0,8
1035,ESP,1936,Winter,0,6
1036,ESP,1948,Summer,0,55
1037,ESP,1948,Winter,0,12
1038,ESP,1952,Summer,0,27
1039,ESP,1952,Winter,0,11
1040,ESP,1956,Summer,0,8
1041,ESP,1956,Winter,0,14
1042,ESP,1960,Summer,0,191
1043,ESP,1960,Winter,0,12
1044,ESP,1964,Summer,0,43
1045,ESP,1964,Winter,0,12
1046,ESP,1968,Summer,0,77
1047,ESP,1968,Winter,0,18
1048,ESP,1972,Summer,0,102
1049,ESP,1972,Winter,0,7
1050,ESP,1976,Summer,0,107
1051,ESP,1976,Winter,0,11
1052,ESP,1980,Summer,0,134
1053,ESP,1980,Winter,0,15
1054,ESP,1984,Summer,0,189
1055,ESP,1984,Winter,0,25
1056,ESP,1988,Summer,0,226
1057,ESP,1988,Winter,0,29
1058,ESP,1992,Summer,1,342
1059,ESP,1992,Winter,1,42
1060,ESP,1994,Winter,0,33
1061,ESP,1996,Summer,0,259
1062,ESP,1998,Winter,0,21
1063,ESP,2000,Summer,0,293
1064,ESP,2002,Winter,0,16
1065,ESP,2004,Summer,0,295
1066,ESP,2006,Winter,0,28
1067,ESP,2008,Summer,0,264
1068,ESP,2010,Winter,0,35
1069,ESP,2012,Summer,0,222
1070,ESP,2014,Winter,0,39
1071,ESP,2016,Summer,0,236
1072,EST,1920,Summer,0,20
1073,EST,1924,Summer,0,37
1074,EST,1928,Summer,0,23
1075,EST,1928,Winter,0,6
1076,EST,1932,Summer,0,3
1077,EST,1936,Summer,0,36
1078,EST,1936,Winter,0,9
1079,EST,1992,Summer,0,39
1080,EST,1992,Winter,0,41
1081,EST,1994,Winter,0,53
1082,EST,1996,Summer,0,46
1083,EST,1998,Winter,0,39
1084,EST,2000,Summer,0,37
1085,EST,2002,Winter,0,45
1086,EST,2004,Summer,0,44
1087,EST,2006,Winter,0,52
1088,EST,2008,Summer,0,51
1089,EST,2010,Winter,0,53
1090,EST,2012,Summer,0,36
1091,EST,2014,Winter,0,53
1092,EST,2016,Summer,0,46
1093,ETH,1956,Summer,0,21
1094,ETH,1960,Summer,0,12
1095,ETH,1964,Summer,0,16
1096,ETH,1968,Summer,0,23
1097,ETH,1972,Summer,0,31
1098,ETH,1980,Summer,0,42
1099,ETH,1992,Summer,0,21
1100,ETH,1996,Summer,0,19
1101,ETH,2000,Summer,0,27
1102,ETH,2004,Summer,0,27
1103,ETH,2006,Winter,0,1
1104,ETH,2008,Summer,0,29
1105,ETH,2010,Winter,0,1
1106,ETH,2012,Summer,0,34
1107,ETH,2016,Summer,0,38
1108,EUN,1992,Summer,0,473
1109,EUN,1992,Winter,0,161
1110,FIJ,1956,Summer,0,5
1111,FIJ,1960,Summer,0,3
1112,FIJ,1968,Summer,0,1
1113,FIJ,1972,Summer,0,4
1114,FIJ,1976,Summer,0,5
1115,FIJ,1984,Summer,0,26
1116,FIJ,1988,Summer,0,41
1117,FIJ,1988,Winter,0,1
1118,FIJ,1992,Summer,0,36
1119,FIJ,1994,Winter,0,1
1120,FIJ,1996,Summer,0,15
1121,FIJ,2000,Summer,0,9
1122,FIJ,2002,Winter,0,2
1123,FIJ,2004,Summer,0,9
1124,FIJ,2008,Summer,0,6
1125,FIJ,2012,Summer,0,9
1126,FIJ,2016,Summer,0,14
1127,FIN,1906,Summer,0,18
1128,FIN,1908,Summer,0,64
1129,FIN,1912,Summer,0,170
1130,FIN,1920,Summer,0,99
1131,FIN,1924,Summer,0,209
1132,FIN,1924,Winter,0,33
1133,FIN,1928,Summer,0,125
1134,FIN,1928,Winter,0,27
1135,FIN,1932,Summer,0,62
1136,FIN,1932,Winter,0,12
1137,FIN,1936,Summer,0,163
1138,FIN,1936,Winter,0,33
1139,FIN,1948,Summer,0,184
1140,FIN,1948,Winter,0,42
1141,FIN,1952,Summer,1,327
1142,FIN,1952,Winter,1,54
1143,FIN,1956,Summer,0,124
1144,FIN,1956,Winter,0,47
1145,FIN,1960,Summer,0,180
1146,FIN,1960,Winter,0,53
1147,FIN,1964,Summer,0,135
1148,FIN,1964,Winter,0,67
1149,FIN,1968,Summer,0,112
1150,FIN,1968,Winter,0,71
1151,FIN,1972,Summer,0,113
1152,FIN,1972,Winter,0,57
1153,FIN,1976,Summer,0,89
1154,FIN,1976,Winter,0,53
1155,FIN,1980,Summer,0,97
1156,FIN,1980,Winter,0,57
1157,FIN,1984,Summer,0,97
1158,FIN,1984,Winter,0,52
1159,FIN,1988,Summer,0,90
1160,FIN,1988,Winter,0,57
1161,FIN,1992,Summer,0,111
1162,FIN,1992,Winter,0,77
1163,FIN,1994,Winter,0,74
1164,FIN,1996,Summer,0,89
1165,FIN,1998,Winter,0,77
1166,FIN,2000,Summer,0,81
1167,FIN,2002,Winter,0,108
1168,FIN,2004,Summer,0,64
1169,FIN,2006,Winter,0,85
1170,FIN,2008,Summer,0,66
1171,FIN,2010,Winter,0,93
1172,FIN,2012,Summer,0,68
1173,FIN,2014,Winter,0,95
1174,FIN,2016,Summer,0,63
1175,FRA,1896,Summer,0,26
1176,FRA,1900,Summer,1,941
1177,FRA,1904,Summer,0,2
1178,FRA,1906,Summer,0,154
1179,FRA,1908,Summer,0,216
1180,FRA,1912,Summer,0,170
1181,FRA,1920,Summer,0,265
1182,FRA,1924,Summer,1,1030
1183,FRA,1924,Winter,1,100
1184,FRA,1928,Summer,0,322
1185,FRA,1928,Winter,0,27
1186,FRA,1932,Summer,0,141
1187,FRA,1932,Winter,0,7
1188,FRA,1936,Summer,0,231
1189,FRA,1936,Winter,0,11
1190,FRA,1948,Summer,0,331
1191,FRA,1948,Winter,0,47
1192,FRA,1952,Summer,0,308
1193,FRA,1952,Winter,0,36
1194,FRA,1956,Summer,0,180
1195,FRA,1956,Winter,0,43
1196,FRA,1960,Summer,0,256
1197,FRA,1960,Winter,0,52
1198,FRA,1964,Summer,0,162
1199,FRA,1964,Winter,0,47
1200,FRA,1968,Summer,1,214
1201,FRA,1968,Winter,1,84
1202,FRA,1972,Summer,0,268
1203,FRA,1972,Winter,0,57
1204,FRA,1976,Summer,0,225
1205,FRA,1976,Winter,0,47
1206,FRA,1980,Summer,0,154
1207,FRA,1980,Winter,0,38
1208,FRA,1984,Summer,0,270
1209,FRA,1984,Winter,0,50
1210,FRA,1988,Summer,0,306
1211,FRA,1988,Winter,0,87
1212,FRA,1992,Summer,1,340
1213,FRA,1992,Winter,1,130
1214,FRA,1994,Winter,0,118
1215,FRA,1996,Summer,0,333
1216,FRA,1998,Winter,0,117
1217,FRA,2000,Summer,0,357
1218,FRA,2002,Winter,0,132
1219,FRA,2004,Summer,0,342
1220,FRA,2006,Winter,0,136
1221,FRA,2008,Summer,0,338
1222,FRA,2010,Winter,0,172
1223,FRA,2012,Summer,0,313
1224,FRA,2014,Winter,0,166
1225,FRA,2016,Summer,0,332
1226,FRG,1968,Summer,0,324
1227,FRG,1968,Winter,0,99
1228,FRG,1972,Summer,1,407
1229,FRG,1972,Winter,1,85
1230,FRG,1976,Summer,0,329
1231,FRG,1976,Winter,0,69
1232,FRG,1980,Winter,0,80
1233,FRG,1984,Summer,0,377
1234,FRG,1984,Winter,0,82
1235,FRG,1988,Summer,0,351
1236,FRG,1988,Winter,0,106
1237,FSM,2000,Summer,0,5
1238,FSM,2004,Summer,0,5
1239,FSM,2008,Summer,0,5
1240,FSM,2012,Summer,0,6
1241,FSM,2016,Summer,0,5
1242,GAB,1972,Summer,0,1
1243,GAB,1984,Summer,0,4
1244,GAB,1988,Summer,0,2
1245,GAB,1992,Summer,0,5
1246,GAB,1996,Summer,0,6
1247,GAB,2000,Summer,0,6
1248,GAB,2004,Summer,0,5
1249,GAB,2008,Summer,0,4
1250,GAB,2012,Summer,0,7
1251,GAB,2016,Summer,0,6
1252,GAM,1984,Summer,0,10
1253,GAM,1988,Summer,0,6
1254,GAM,1992,Summer,0,5
1255,GAM,1996,Summer,0,6
1256,GAM,2000,Summer,0,2
1257,GAM,2004,Summer,0,3
1258,GAM,2008,Summer,0,3
1259,GAM,2012,Summer,0,2
1260,GAM,2016,Summer,0,4
1261,GBR,1896,Summer,0,24
1262,GBR,1900,Summer,0,79
1263,GBR,1904,Summer,0,6
1264,GBR,1906,Summer,0,100
1265,GBR,1908,Summer,1,732
1266,GBR,1912,Summer,0,317
1267,GBR,1920,Summer,0,218
1268,GBR,1924,Summer,0,337
1269,GBR,1924,Winter,0,34
1270,GBR,1928,Summer,0,290
1271,GBR,1928,Winter,0,19
1272,GBR,1932,Summer,0,146
1273,GBR,1932,Winter,0,4
1274,GBR,1936,Summer,0,172
1275,GBR,1936,Winter,0,25
1276,GBR,1948,Summer,1,489
1277,GBR,1948,Winter,1,55
1278,GBR,1952,Summer,0,301
1279,GBR,1952,Winter,0,35
1280,GBR,1956,Summer,0,208
1281,GBR,1956,Winter,0,56
1282,GBR,1960,Summer,0,287
1283,GBR,1960,Winter,0,39
1284,GBR,1964,Summer,0,224
1285,GBR,1964,Winter,0,52
1286,GBR,1968,Summer,0,250
1287,GBR,1968,Winter,0,51
1288,GBR,1972,Summer,0,336
1289,GBR,1972,Winter,0,55
1290,GBR,1976,Summer,0,283
1291,GBR,1976,Winter,0,54
1292,GBR,1980,Summer,0,264
1293,GBR,1980,Winter,0,60
1294,GBR,1984,Summer,0,399
1295,GBR,1984,Winter,0,59
1296,GBR,1988,Summer,0,349
1297,GBR,1988,Winter,0,78
1298,GBR,1992,Summer,0,388
1299,GBR,1992,Winter,0,74
1300,GBR,1994,Winter,0,38
1301,GBR,1996,Summer,0,286
1302,GBR,1998,Winter,0,35
1303,GBR,2000,Summer,0,308
